Play Area: 2.1m x 3.4m, 1.447934
24 courses available, 1.4537
Play Area: 2.1m x 3.4m, 1.896606
24 courses available, 1.903144
Tare feet, 185.5009
Loaded course_6_swing, 196.1385
Subject navigating course: True, 250.835
Off course, 273.3041
Back on course, 273.981
Off course, 275.8135
Back on course, 275.8582
Off course, 275.8686
Back on course, 277.4684
Off course, 280.156
Back on course, 282.1219
collide*(0.7363, 1.3448, -0.0420)*CollisionTracker_EYE*(0.2360, -0.0068, 0.0192) *(0.3489, -0.1159, 0.4710)*(0.7042, 1.2634, -0.0633)*Obstacle*(0.8000, 1.5058, 0.0000), 290.9972
pressed_ButtonBig(Clone), 294.5289
collide*(2.1897, 0.3233, 0.4437)*CollisionTracker_RF*(-0.0788, 1.1405, 0.6195) *(-0.0411, -0.3676, -0.7040)*(2.1142, 0.2919, 0.5333)*ObstacleLeft*(2.2000, 0.3250, 0.4000), 321.8827
collide*(3.2908, 0.0474, 0.8239)*CollisionTracker_LF*(0.0435, 0.1159, -0.1036) *(-0.0946, 0.3208, -0.3031)*(3.3376, 0.0731, 0.9341)*Obstacle*(3.2000, 0.0650, 0.8000), 333.0892
collide*(3.4510, 1.3082, 0.0302)*CollisionTracker_EYE*(0.1563, 0.0154, -0.0928) *(0.3208, 0.0189, -0.4323)*(3.3629, 1.3131, 0.0480)*FlagZY*(3.6000, 1.3000, 0.0000), 336.1648
Off course, 336.4207
Pulse, 338.4308
Back on course, 341.0411
Off course, 343.5843
Back on course, 343.9949
Off course, 345.8936
Back on course, 346.8829
Off course, 348.1045
Back on course, 349.5135
Off course, 355.3623
Back on course, 355.579
Off course, 356.7233
Subject navigating course: False, 357.9571
Tare feet, 591.1006
Subject navigating course: True, 605.2724
Pulse, 605.2874
collide*(3.5117, 0.0213, 1.8190)*CollisionTracker_RF*(0.3680, -0.2340, -0.8403) *(-3.2550, 1.5886, 1.1713)*(3.4573, 0.0410, 1.9179)*Foot*(3.5509, 0.0250, 1.7332), 609.2233
collide*(3.5177, 0.0360, 1.8394)*CollisionTracker_LF*(-0.0045, 0.0000, -0.0121) *(-0.7384, 0.2330, 0.0297)*(3.5509, 0.0250, 1.7332)*Foot*(3.4570, 0.0423, 1.9195), 609.2285
Loaded course_7_swing, 615.9203
collide*(3.5440, 1.3405, 1.5670)*CollisionTracker_EYE*(-0.0117, -0.0049, 0.0029) *(0.0141, -0.0998, 0.0720)*(3.4782, 1.3881, 1.5283)*FlagZY*(3.6000, 1.3000, 1.6000), 616.6122
collide*(3.4638, 0.0149, 1.6805)*CollisionTracker_RF*(0.0034, 0.0014, -0.0026) *(0.0882, 0.0072, -0.1299)*(3.4285, 0.0237, 1.7896)*Foot*(3.4519, 0.0392, 1.5734), 617.5162
collide*(3.4740, 0.0345, 1.6877)*CollisionTracker_LF*(0.1998, -0.0879, 0.2605) *(1.8238, -1.3754, 2.4516)*(3.4550, 0.0375, 1.5775)*Foot*(3.4285, 0.0247, 1.7915), 617.528
collide*(3.4471, 1.3216, 1.6538)*CollisionTracker_EYE*(0.1320, -0.1160, -0.0930) *(-0.4003, -0.0886, -0.9244)*(3.3630, 1.3334, 1.6834)*FlagZY*(3.6000, 1.3000, 1.6000), 617.9739
collide*(3.4494, 0.0228, 1.8163)*CollisionTracker_RF*(-0.0211, 0.0151, 0.0602) *(-0.0422, -0.2097, 0.4088)*(3.4084, 0.0303, 1.9240)*Foot*(3.4701, 0.0321, 1.7723), 624.2173
collide*(3.4750, 0.0406, 1.8407)*CollisionTracker_LF*(-0.0642, -0.0429, 0.8584) *(1.5141, 0.5864, -0.5151)*(3.4701, 0.0321, 1.7723)*Foot*(3.4084, 0.0313, 1.9259), 624.222
