sw,250.8393,0.783,1.000,1.200,0.000,0.000,0.000,1.000
bb,250.8393,1.175,0.296,-0.011,0.000,0.000,0.000,1.000
E,250.8393,0.824,1.310,1.434,-0.002,0.945,-0.325,0.035
RC,250.8393,0.653,0.933,1.511,0.181,0.952,0.245,0.025
LF,250.8393,0.895,0.086,1.668,0.547,0.412,0.513,0.518
RF,250.8393,0.705,0.101,1.659,-0.586,-0.307,0.709,0.243
LC,250.8393,0.970,0.906,1.509,0.152,-0.957,-0.242,0.049
sw,250.9473,0.798,1.000,1.200,0.000,0.000,0.000,1.000
bb,250.9473,1.175,0.296,-0.011,0.000,0.000,0.000,1.000
E,250.9473,0.825,1.309,1.434,0.000,0.945,-0.325,0.036
RC,250.9473,0.653,0.933,1.509,0.182,0.952,0.246,0.026
LF,250.9473,0.895,0.086,1.667,0.546,0.413,0.513,0.519
RF,250.9473,0.704,0.100,1.660,-0.588,-0.305,0.709,0.241
LC,250.9473,0.971,0.906,1.507,0.151,-0.957,-0.242,0.045
sw,251.0585,0.799,1.000,1.200,0.000,0.000,0.000,1.000
bb,251.0585,1.175,0.296,-0.011,0.000,0.000,0.000,1.000
E,251.0585,0.826,1.310,1.432,0.001,0.945,-0.325,0.037
RC,251.0585,0.654,0.933,1.506,0.182,0.952,0.246,0.029
LF,251.0585,0.895,0.086,1.667,0.545,0.412,0.514,0.519
RF,251.0585,0.704,0.100,1.660,-0.589,-0.304,0.709,0.240
LC,251.0585,0.971,0.907,1.506,0.152,-0.958,-0.241,0.043
sw,251.1691,0.788,1.000,1.200,0.000,0.000,0.000,1.000
bb,251.1691,1.175,0.296,-0.011,0.000,0.000,0.000,1.000
E,251.1691,0.826,1.309,1.431,0.002,0.944,-0.327,0.037
RC,251.1691,0.653,0.933,1.505,0.181,0.952,0.245,0.031
LF,251.1691,0.894,0.086,1.667,0.545,0.412,0.515,0.518
RF,251.1691,0.704,0.100,1.660,-0.589,-0.305,0.710,0.239
LC,251.1691,0.971,0.907,1.506,0.152,-0.958,-0.241,0.043
sw,251.2817,0.765,1.000,1.200,0.000,0.000,0.000,1.000
bb,251.2817,1.175,0.296,-0.011,0.000,0.000,0.000,1.000
E,251.2817,0.825,1.308,1.431,0.002,0.943,-0.332,0.035
RC,251.2817,0.653,0.933,1.504,0.181,0.952,0.245,0.031
LF,251.2817,0.894,0.086,1.667,0.544,0.413,0.514,0.518
RF,251.2817,0.704,0.100,1.659,-0.589,-0.304,0.710,0.238
LC,251.2817,0.970,0.907,1.505,0.151,-0.958,-0.240,0.042
sw,251.3908,0.731,1.000,1.200,0.000,0.000,0.000,1.000
bb,251.3908,1.175,0.296,-0.011,0.000,0.000,0.000,1.000
E,251.3908,0.823,1.306,1.431,0.001,0.941,-0.337,0.033
RC,251.3908,0.651,0.932,1.504,0.182,0.952,0.246,0.028
LF,251.3908,0.895,0.087,1.666,0.544,0.414,0.514,0.518
RF,251.3908,0.705,0.101,1.658,-0.588,-0.303,0.711,0.237
LC,251.3908,0.969,0.907,1.504,0.151,-0.958,-0.241,0.044
sw,251.491,0.691,1.000,1.200,0.000,0.000,0.000,1.000
bb,251.491,1.175,0.296,-0.011,0.000,0.000,0.000,1.000
E,251.491,0.820,1.306,1.430,-0.001,0.940,-0.341,0.031
RC,251.491,0.650,0.932,1.506,0.181,0.952,0.246,0.027
LF,251.491,0.894,0.086,1.666,0.543,0.415,0.514,0.518
RF,251.491,0.705,0.101,1.657,-0.587,-0.303,0.712,0.236
LC,251.491,0.968,0.907,1.504,0.151,-0.958,-0.241,0.046
sw,251.5912,0.645,1.000,1.200,0.000,0.000,0.000,1.000
bb,251.5912,1.175,0.296,-0.011,0.000,0.000,0.000,1.000
E,251.5912,0.818,1.305,1.431,-0.002,0.939,-0.344,0.029
RC,251.5912,0.648,0.931,1.507,0.180,0.952,0.246,0.026
LF,251.5912,0.894,0.087,1.666,0.543,0.416,0.514,0.518
RF,251.5912,0.705,0.102,1.656,-0.587,-0.303,0.713,0.236
LC,251.5912,0.966,0.907,1.504,0.152,-0.957,-0.241,0.048
sw,251.7021,0.587,1.000,1.200,0.000,0.000,0.000,1.000
bb,251.7021,1.175,0.296,-0.011,0.000,0.000,0.000,1.000
E,251.7021,0.816,1.304,1.432,-0.004,0.937,-0.348,0.029
RC,251.7021,0.646,0.930,1.510,0.178,0.952,0.246,0.026
LF,251.7021,0.894,0.087,1.665,0.543,0.416,0.515,0.517
RF,251.7021,0.706,0.103,1.654,-0.587,-0.304,0.713,0.236
LC,251.7021,0.965,0.907,1.505,0.154,-0.957,-0.241,0.049
sw,251.8023,0.529,1.000,1.200,0.000,0.000,0.000,1.000
bb,251.8023,1.175,0.296,-0.011,0.000,0.000,0.000,1.000
E,251.8023,0.814,1.302,1.435,-0.006,0.933,-0.359,0.030
RC,251.8023,0.645,0.930,1.512,0.176,0.953,0.247,0.026
LF,251.8023,0.894,0.087,1.666,0.543,0.416,0.515,0.516
RF,251.8023,0.706,0.104,1.654,-0.587,-0.305,0.712,0.236
LC,251.8023,0.964,0.908,1.506,0.156,-0.956,-0.242,0.049
sw,251.9026,0.468,1.000,1.200,0.000,0.000,0.000,1.000
bb,251.9026,1.175,0.296,-0.011,0.000,0.000,0.000,1.000
E,251.9026,0.813,1.298,1.438,-0.007,0.928,-0.372,0.030
RC,251.9026,0.644,0.931,1.513,0.175,0.952,0.248,0.026
