bb,98.61462,0.336,0.296,1.230,0.000,0.000,0.000,1.000
E,98.61462,3.061,1.440,1.537,0.048,-0.757,0.070,0.648
RC,98.61462,2.908,0.914,1.662,0.016,-0.692,-0.048,0.720
LF,98.61462,3.269,0.129,1.677,0.354,0.245,0.615,0.661
RF,98.61462,3.206,0.082,1.422,0.316,-0.899,0.046,0.301
LC,98.61462,2.925,0.950,1.398,-0.009,-0.789,-0.015,0.614
bb,98.72063,0.336,0.296,1.230,0.000,0.000,0.000,1.000
E,98.72063,3.064,1.444,1.549,0.041,-0.745,0.065,0.663
RC,98.72063,2.913,0.911,1.672,0.018,-0.691,-0.038,0.722
LF,98.72063,3.271,0.130,1.678,0.363,0.242,0.612,0.660
RF,98.72063,3.205,0.083,1.424,0.321,-0.897,0.039,0.302
LC,98.72063,2.921,0.950,1.416,-0.013,-0.783,-0.021,0.622
bb,98.82952,0.336,0.296,1.230,0.000,0.000,0.000,1.000
E,98.82952,3.070,1.447,1.560,0.033,-0.736,0.056,0.674
RC,98.82952,2.916,0.911,1.683,0.016,-0.689,-0.030,0.724
LF,98.82952,3.271,0.129,1.679,0.368,0.240,0.611,0.659
RF,98.82952,3.205,0.084,1.426,0.326,-0.896,0.035,0.300
LC,98.82952,2.917,0.951,1.432,-0.012,-0.784,-0.029,0.619
bb,98.93073,0.336,0.296,1.230,0.000,0.000,0.000,1.000
E,98.93073,3.079,1.453,1.569,0.021,-0.736,0.040,0.676
RC,98.93073,2.913,0.916,1.690,0.012,-0.684,-0.029,0.729
LF,98.93073,3.271,0.128,1.679,0.371,0.239,0.611,0.658
RF,98.93073,3.205,0.084,1.427,0.328,-0.896,0.031,0.297
LC,98.93073,2.918,0.950,1.445,-0.012,-0.781,-0.033,0.623
bb,99.04169,0.336,0.296,1.230,0.000,0.000,0.000,1.000
E,99.04169,3.090,1.464,1.577,-0.002,-0.735,0.009,0.678
RC,99.04169,2.907,0.924,1.694,-0.007,-0.684,-0.031,0.729
LF,99.04169,3.270,0.128,1.680,0.375,0.238,0.609,0.657
RF,99.04169,3.205,0.085,1.428,0.330,-0.897,0.028,0.293
LC,99.04169,2.923,0.941,1.459,-0.003,-0.772,-0.016,0.635
bb,99.15189,0.336,0.296,1.230,0.000,0.000,0.000,1.000
E,99.15189,3.099,1.472,1.582,-0.026,-0.734,-0.016,0.679
RC,99.15189,2.902,0.928,1.692,-0.013,-0.684,-0.030,0.729
LF,99.15189,3.271,0.128,1.681,0.375,0.236,0.609,0.658
RF,99.15189,3.204,0.085,1.428,0.331,-0.896,0.026,0.296
LC,99.15189,2.922,0.938,1.465,0.011,-0.767,-0.007,0.642
bb,99.26273,0.336,0.296,1.230,0.000,0.000,0.000,1.000
E,99.26273,3.103,1.473,1.581,-0.034,-0.734,-0.021,0.678
RC,99.26273,2.903,0.931,1.685,-0.017,-0.691,-0.032,0.722
LF,99.26273,3.271,0.128,1.681,0.374,0.235,0.610,0.658
RF,99.26273,3.205,0.085,1.428,0.329,-0.897,0.026,0.294
LC,99.26273,2.920,0.948,1.463,-0.001,-0.773,-0.032,0.633
bb,99.3737,0.336,0.296,1.230,0.000,0.000,0.000,1.000
E,99.3737,3.104,1.471,1.579,-0.026,-0.734,-0.020,0.678
RC,99.3737,2.907,0.932,1.682,-0.013,-0.688,-0.030,0.725
LF,99.3737,3.271,0.128,1.680,0.372,0.233,0.611,0.659
