bb,64.75408,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,64.75408,2.434,1.000,1.600,0.000,0.000,0.000,1.000
E,64.75408,3.412,1.533,1.541,-0.293,0.747,-0.370,-0.468
RC,64.75408,3.406,0.784,1.747,-0.036,-0.885,0.117,0.450
LF,64.75408,3.634,0.138,1.438,0.694,0.710,-0.119,0.001
RF,64.75408,3.625,0.146,1.760,0.140,-0.093,-0.574,0.801
LC,64.75408,3.501,0.763,1.374,0.336,-0.460,-0.094,0.817
bb,64.85783,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,64.85783,2.412,1.000,1.600,0.000,0.000,0.000,1.000
E,64.85783,3.416,1.534,1.538,-0.289,0.753,-0.372,-0.460
RC,64.85783,3.402,0.786,1.746,-0.040,-0.886,0.117,0.446
LF,64.85783,3.635,0.139,1.438,0.695,0.709,-0.118,0.002
RF,64.85783,3.626,0.146,1.760,0.140,-0.092,-0.576,0.800
LC,64.85783,3.502,0.764,1.372,0.336,-0.464,-0.094,0.814
bb,64.95844,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,64.95844,2.401,1.000,1.600,0.000,0.000,0.000,1.000
E,64.95844,3.416,1.533,1.534,-0.287,0.757,-0.373,-0.454
RC,64.95844,3.398,0.787,1.745,-0.043,-0.888,0.116,0.443
LF,64.95844,3.635,0.139,1.438,0.695,0.709,-0.117,0.003
RF,64.95844,3.626,0.146,1.760,0.140,-0.091,-0.576,0.800
LC,64.95844,3.503,0.764,1.372,0.336,-0.469,-0.093,0.812
bb,65.0593,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,65.0593,2.401,1.000,1.600,0.000,0.000,0.000,1.000
E,65.0593,3.415,1.534,1.532,-0.284,0.759,-0.370,-0.454
RC,65.0593,3.396,0.787,1.745,-0.044,-0.889,0.115,0.441
LF,65.0593,3.635,0.139,1.438,0.695,0.709,-0.116,0.003
RF,65.0593,3.626,0.146,1.760,0.141,-0.091,-0.576,0.800
LC,65.0593,3.507,0.763,1.372,0.336,-0.471,-0.090,0.811
bb,65.1684,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,65.1684,2.412,1.000,1.600,0.000,0.000,0.000,1.000
E,65.1684,3.414,1.535,1.531,-0.283,0.758,-0.370,-0.456
RC,65.1684,3.397,0.787,1.744,-0.044,-0.891,0.113,0.438
LF,65.1684,3.635,0.139,1.438,0.696,0.709,-0.115,0.003
RF,65.1684,3.625,0.146,1.760,0.141,-0.091,-0.575,0.800
LC,65.1684,3.511,0.761,1.375,0.336,-0.472,-0.085,0.810
bb,65.26897,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,65.26897,2.432,1.000,1.600,0.000,0.000,0.000,1.000
E,65.26897,3.414,1.535,1.532,-0.278,0.757,-0.374,-0.458
RC,65.26897,3.398,0.786,1.743,-0.042,-0.893,0.114,0.434
LF,65.26897,3.635,0.139,1.438,0.695,0.710,-0.114,0.003
RF,65.26897,3.625,0.146,1.760,0.141,-0.090,-0.575,0.801
LC,65.26897,3.514,0.760,1.375,0.337,-0.472,-0.081,0.811
bb,65.37939,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,65.37939,2.465,1.000,1.600,0.000,0.000,0.000,1.000
E,65.37939,3.413,1.535,1.532,-0.278,0.757,-0.374,-0.458
RC,65.37939,3.399,0.785,1.744,-0.041,-0.892,0.115,0.434
LF,65.37939,3.635,0.139,1.438,0.695,0.710,-0.114,0.003
RF,65.37939,3.625,0.146,1.760,0.141,-0.090,-0.574,0.802
LC,65.37939,3.513,0.760,1.375,0.337,-0.474,-0.080,0.810
bb,65.47976,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,65.47976,2.504,1.000,1.600,0.000,0.000,0.000,1.000
E,65.47976,3.412,1.536,1.534,-0.277,0.757,-0.373,-0.460
RC,65.47976,3.399,0.784,1.747,-0.042,-0.891,0.116,0.437
LF,65.47976,3.635,0.139,1.438,0.694,0.711,-0.114,0.003
RF,65.47976,3.625,0.145,1.760,0.141,-0.090,-0.574,0.802
LC,65.47976,3.511,0.760,1.375,0.337,-0.473,-0.082,0.810
bb,65.58024,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,65.58024,2.550,1.000,1.600,0.000,0.000,0.000,1.000
E,65.58024,3.411,1.535,1.537,-0.277,0.753,-0.372,-0.466
RC,65.58024,3.398,0.784,1.747,-0.042,-0.890,0.115,0.439
LF,65.58024,3.635,0.139,1.439,0.694,0.711,-0.114,0.003
RF,65.58024,3.625,0.146,1.760,0.141,-0.089,-0.574,0.802
LC,65.58024,3.508,0.762,1.375,0.337,-0.473,-0.085,0.810
bb,65.69171,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,65.69171,2.607,1.000,1.600,0.000,0.000,0.000,1.000
E,65.69171,3.408,1.535,1.539,-0.274,0.751,-0.368,-0.474
RC,65.69171,3.399,0.784,1.747,-0.041,-0.889,0.114,0.442
LF,65.69171,3.634,0.139,1.439,0.694,0.711,-0.114,0.003
RF,65.69171,3.625,0.146,1.760,0.141,-0.089,-0.574,0.802
LC,65.69171,3.505,0.762,1.376,0.335,-0.471,-0.087,0.811
bb,65.80222,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,65.80222,2.671,1.000,1.600,0.000,0.000,0.000,1.000
E,65.80222,3.405,1.537,1.541,-0.271,0.753,-0.359,-0.480
RC,65.80222,3.401,0.783,1.747,-0.039,-0.888,0.113,0.444
LF,65.80222,3.634,0.139,1.439,0.694,0.711,-0.114,0.003
RF,65.80222,3.625,0.146,1.760,0.141,-0.088,-0.574,0.802
LC,65.80222,3.504,0.763,1.378,0.335,-0.468,-0.088,0.813
bb,65.91343,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,65.91343,2.739,1.000,1.600,0.000,0.000,0.000,1.000
E,65.91343,3.407,1.534,1.543,-0.279,0.749,-0.367,-0.476
RC,65.91343,3.404,0.782,1.747,-0.036,-0.888,0.114,0.444
LF,65.91343,3.635,0.139,1.439,0.693,0.711,-0.115,0.002
RF,65.91343,3.625,0.146,1.760,0.141,-0.088,-0.574,0.802
LC,65.91343,3.504,0.763,1.378,0.336,-0.465,-0.088,0.814
bb,66.0244,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,66.0244,2.808,1.000,1.600,0.000,0.000,0.000,1.000
E,66.0244,3.407,1.534,1.545,-0.283,0.746,-0.371,-0.476
RC,66.0244,3.404,0.783,1.747,-0.036,-0.886,0.113,0.449
LF,66.0244,3.634,0.139,1.439,0.693,0.712,-0.115,0.002
RF,66.0244,3.625,0.146,1.760,0.141,-0.088,-0.574,0.802
LC,66.0244,3.504,0.764,1.377,0.337,-0.465,-0.090,0.813
bb,66.13481,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,66.13481,2.878,1.000,1.600,0.000,0.000,0.000,1.000
E,66.13481,3.408,1.534,1.547,-0.284,0.743,-0.371,-0.479
RC,66.13481,3.403,0.783,1.746,-0.037,-0.886,0.114,0.448
LF,66.13481,3.634,0.139,1.439,0.693,0.712,-0.115,0.002
RF,66.13481,3.625,0.146,1.760,0.141,-0.089,-0.574,0.802
LC,66.13481,3.505,0.763,1.378,0.338,-0.463,-0.089,0.814
bb,66.2351,1.109,0.296,1.658,0.000,0.000,0.000,1.000
sw,66.2351,2.937,1.000,1.600,0.000,0.000,0.000,1.000
E,66.2351,3.407,1.534,1.550,-0.285,0.736,-0.371,-0.489
RC,66.2351,3.401,0.783,1.747,-0.039,-0.884,0.114,0.452
LF,66.2351,3.634,0.139,1.439,0.693,0.712,-0.115,0.001
RF,66.2351,3.625,0.146,1.760,0.141,-0.089,-0.574,0.802
LC,66.2351,3.505,0.763,1.378,0.338,-0.464,-0.090,0.814
