bb,16.98688,1.599,0.296,-0.074,0.000,0.000,0.000,1.000
E,16.98688,3.224,1.383,0.064,0.401,-0.570,0.380,0.609
RC,16.98688,3.311,0.717,0.281,0.176,-0.554,0.341,0.739
LF,16.98688,3.364,0.190,-0.093,-0.566,-0.779,0.187,0.193
RF,16.98688,3.361,0.216,0.165,-0.095,0.193,-0.557,0.802
LC,16.98688,3.173,0.736,-0.158,0.430,-0.475,0.035,0.766
bb,17.093,1.599,0.296,-0.074,0.000,0.000,0.000,1.000
E,17.093,3.225,1.383,0.052,0.403,-0.569,0.386,0.604
RC,17.093,3.318,0.716,0.262,0.192,-0.570,0.345,0.721
LF,17.093,3.363,0.191,-0.094,-0.570,-0.775,0.196,0.189
RF,17.093,3.380,0.225,0.098,-0.050,0.224,-0.541,0.810
LC,17.093,3.172,0.733,-0.171,0.419,-0.541,0.068,0.726
bb,17.19311,1.599,0.296,-0.074,0.000,0.000,0.000,1.000
E,17.19311,3.225,1.386,0.050,0.393,-0.574,0.379,0.611
RC,17.19311,3.329,0.706,0.254,0.233,-0.588,0.357,0.687
LF,17.19311,3.363,0.191,-0.094,-0.572,-0.774,0.198,0.185
RF,17.19311,3.410,0.192,0.069,-0.028,0.165,-0.592,0.788
LC,17.19311,3.174,0.726,-0.169,0.458,-0.564,0.091,0.682
bb,17.30267,1.599,0.296,-0.074,0.000,0.000,0.000,1.000
E,17.30267,3.227,1.391,0.054,0.389,-0.573,0.382,0.612
RC,17.30267,3.333,0.709,0.253,0.264,-0.602,0.347,0.669
LF,17.30267,3.365,0.191,-0.095,-0.582,-0.767,0.194,0.188
RF,17.30267,3.413,0.186,0.062,-0.047,0.167,-0.619,0.766
LC,17.30267,3.186,0.724,-0.152,0.491,-0.546,0.147,0.663
bb,17.40298,1.599,0.296,-0.074,0.000,0.000,0.000,1.000
E,17.40298,3.226,1.392,0.059,0.391,-0.568,0.378,0.618
RC,17.40298,3.324,0.732,0.242,0.293,-0.638,0.240,0.670
LF,17.40298,3.365,0.192,-0.095,-0.592,-0.761,0.191,0.184
RF,17.40298,3.410,0.189,0.061,-0.044,0.165,-0.627,0.760
LC,17.40298,3.203,0.735,-0.125,0.465,-0.490,0.230,0.701
bb,17.50322,1.599,0.296,-0.074,0.000,0.000,0.000,1.000
E,17.50322,3.228,1.388,0.063,0.401,-0.560,0.383,0.616
RC,17.50322,3.311,0.766,0.226,0.191,-0.707,0.218,0.645
LF,17.50322,3.366,0.192,-0.096,-0.601,-0.755,0.190,0.183
RF,17.50322,3.409,0.190,0.059,-0.039,0.154,-0.637,0.754
LC,17.50322,3.217,0.758,-0.103,0.417,-0.437,0.213,0.768
bb,17.60326,1.599,0.296,-0.074,0.000,0.000,0.000,1.000
