bb,17.8158,0.489,0.296,0.739,0.000,0.000,0.000,1.000
sw,17.8158,2.675,1.000,0.400,0.000,0.000,0.000,1.000
E,17.8158,3.041,1.418,0.066,0.408,-0.484,0.281,0.722
RC,17.8158,3.215,0.679,0.210,0.315,-0.561,0.431,0.632
LF,17.8158,3.122,0.196,-0.128,-0.627,-0.710,0.235,0.219
RF,17.8158,3.249,0.191,0.037,-0.074,0.181,-0.676,0.710
LC,17.8158,3.028,0.715,-0.141,0.490,-0.375,0.089,0.782
bb,17.91937,0.489,0.296,0.739,0.000,0.000,0.000,1.000
sw,17.91937,2.743,1.000,0.400,0.000,0.000,0.000,1.000
E,17.91937,3.039,1.414,0.068,0.418,-0.486,0.287,0.712
RC,17.91937,3.207,0.689,0.229,0.367,-0.471,0.362,0.716
LF,17.91937,3.121,0.197,-0.128,-0.626,-0.711,0.235,0.219
RF,17.91937,3.248,0.191,0.038,-0.072,0.185,-0.673,0.713
LC,17.91937,3.003,0.721,-0.152,0.476,-0.456,0.050,0.751
bb,18.01965,0.489,0.296,0.739,0.000,0.000,0.000,1.000
sw,18.01965,2.806,1.000,0.400,0.000,0.000,0.000,1.000
E,18.01965,3.040,1.413,0.070,0.422,-0.481,0.284,0.714
RC,18.01965,3.201,0.694,0.175,0.589,-0.430,0.147,0.669
LF,18.01965,3.121,0.197,-0.127,-0.625,-0.711,0.237,0.220
RF,18.01965,3.248,0.190,0.039,-0.069,0.185,-0.671,0.715
LC,18.01965,2.980,0.729,-0.157,0.490,-0.483,-0.050,0.724
bb,18.11977,0.489,0.296,0.739,0.000,0.000,0.000,1.000
sw,18.11977,2.868,1.000,0.400,0.000,0.000,0.000,1.000
E,18.11977,3.041,1.415,0.071,0.417,-0.479,0.286,0.718
RC,18.11977,3.200,0.688,0.211,0.474,-0.438,0.216,0.733
LF,18.11977,3.122,0.197,-0.127,-0.626,-0.710,0.237,0.220
RF,18.11977,3.248,0.190,0.040,-0.068,0.186,-0.670,0.715
LC,18.11977,2.979,0.735,-0.146,0.477,-0.453,-0.034,0.752
bb,18.21992,0.489,0.296,0.739,0.000,0.000,0.000,1.000
sw,18.21992,2.930,1.000,0.400,0.000,0.000,0.000,1.000
E,18.21992,3.043,1.416,0.073,0.411,-0.476,0.282,0.724
RC,18.21992,3.205,0.689,0.237,0.416,-0.362,0.258,0.793
LF,18.21992,3.122,0.196,-0.127,-0.625,-0.711,0.237,0.219
RF,18.21992,3.249,0.189,0.040,-0.069,0.186,-0.672,0.714
LC,18.21992,3.021,0.726,-0.115,0.462,-0.331,0.189,0.801
bb,18.33054,0.489,0.296,0.739,0.000,0.000,0.000,1.000
sw,18.33054,2.992,1.000,0.400,0.000,0.000,0.000,1.000
E,18.33054,3.048,1.417,0.076,0.417,-0.456,0.274,0.737
RC,18.33054,3.194,0.699,0.190,0.537,-0.412,0.149,0.721
LF,18.33054,3.122,0.196,-0.127,-0.624,-0.713,0.234,0.217
RF,18.33054,3.249,0.189,0.040,-0.072,0.184,-0.671,0.715
LC,18.33054,2.990,0.727,-0.124,0.475,-0.387,0.046,0.789
bb,18.4423,0.489,0.296,0.739,0.000,0.000,0.000,1.000
sw,18.4423,3.050,1.000,0.400,0.000,0.000,0.000,1.000
E,18.4423,3.058,1.418,0.087,0.426,-0.411,0.263,0.762
RC,18.4423,3.212,0.699,0.212,0.467,-0.369,0.178,0.784
LF,18.4423,3.122,0.196,-0.126,-0.622,-0.718,0.227,0.216
RF,18.4423,3.248,0.189,0.040,-0.073,0.183,-0.669,0.716
LC,18.4423,2.994,0.722,-0.113,0.464,-0.374,0.058,0.801
bb,18.54299,0.489,0.296,0.739,0.000,0.000,0.000,1.000
sw,18.54299,3.098,1.000,0.400,0.000,0.000,0.000,1.000
E,18.54299,3.075,1.415,0.102,0.437,-0.355,0.251,0.787
RC,18.54299,3.248,0.699,0.216,0.463,-0.325,0.174,0.806
LF,18.54299,3.122,0.195,-0.125,-0.622,-0.714,0.229,0.223
RF,18.54299,3.249,0.189,0.039,-0.080,0.185,-0.674,0.711
LC,18.54299,3.028,0.719,-0.092,0.483,-0.228,0.113,0.838
bb,18.64326,0.489,0.296,0.739,0.000,0.000,0.000,1.000
sw,18.64326,3.135,1.000,0.400,0.000,0.000,0.000,1.000
E,18.64326,3.098,1.413,0.117,0.453,-0.295,0.238,0.807
RC,18.64326,3.291,0.698,0.202,0.469,-0.294,0.169,0.816
LF,18.64326,3.122,0.197,-0.124,-0.617,-0.708,0.239,0.247
RF,18.64326,3.254,0.188,0.038,-0.090,0.184,-0.680,0.704
LC,18.64326,3.017,0.716,-0.082,0.485,-0.232,0.065,0.841
bb,18.75229,0.489,0.296,0.739,0.000,0.000,0.000,1.000
sw,18.75229,3.168,1.000,0.400,0.000,0.000,0.000,1.000
E,18.75229,3.122,1.410,0.127,0.455,-0.249,0.224,0.825
RC,18.75229,3.339,0.690,0.173,0.494,-0.256,0.167,0.814
LF,18.75229,3.120,0.206,-0.127,-0.548,-0.709,0.282,0.343
RF,18.75229,3.259,0.187,0.037,-0.112,0.190,-0.685,0.694
LC,18.75229,3.009,0.717,-0.058,0.481,-0.212,0.009,0.850
bb,18.85297,0.489,0.296,0.739,0.000,0.000,0.000,1.000
sw,18.85297,3.188,1.000,0.400,0.000,0.000,0.000,1.000
E,18.85297,3.140,1.409,0.125,0.466,-0.214,0.203,0.834
RC,18.85297,3.378,0.681,0.147,0.515,-0.217,0.182,0.810
LF,18.85297,3.124,0.209,-0.132,-0.441,-0.640,0.407,0.480
RF,18.85297,3.262,0.187,0.037,-0.125,0.200,-0.685,0.689
LC,18.85297,2.990,0.731,-0.031,0.424,-0.191,-0.084,0.881
