bb,57.76935,1.280,0.296,-0.071,0.000,0.000,0.000,1.000
sw,57.76935,0.248,1.000,1.600,0.000,0.000,0.000,1.000
E,57.76935,3.214,1.510,0.083,0.159,-0.576,0.129,0.791
RC,57.76935,3.209,0.763,0.247,0.019,-0.654,0.289,0.699
LF,57.76935,3.347,0.197,-0.117,-0.566,-0.786,0.193,0.159
RF,57.76935,3.419,0.197,0.062,-0.133,0.206,-0.568,0.786
LC,57.76935,2.983,0.857,-0.081,0.314,-0.503,-0.034,0.805
bb,57.87318,1.280,0.296,-0.071,0.000,0.000,0.000,1.000
sw,57.87318,0.315,1.000,1.600,0.000,0.000,0.000,1.000
E,57.87318,3.218,1.502,0.071,0.184,-0.577,0.146,0.782
RC,57.87318,3.188,0.776,0.227,-0.046,-0.690,0.277,0.667
LF,57.87318,3.346,0.198,-0.117,-0.568,-0.780,0.202,0.167
RF,57.87318,3.399,0.196,0.108,0.040,0.008,-0.607,0.794
LC,57.87318,2.995,0.841,-0.130,0.366,-0.547,-0.061,0.750
bb,57.98462,1.280,0.296,-0.071,0.000,0.000,0.000,1.000
sw,57.98462,0.383,1.000,1.600,0.000,0.000,0.000,1.000
E,57.98462,3.227,1.505,0.064,0.188,-0.574,0.158,0.781
RC,57.98462,3.186,0.783,0.214,-0.054,-0.712,0.264,0.649
LF,57.98462,3.348,0.201,-0.121,-0.596,-0.763,0.201,0.148
RF,57.98462,3.406,0.188,0.109,0.040,0.021,-0.623,0.781
LC,57.98462,3.007,0.836,-0.161,0.366,-0.616,-0.073,0.694
bb,58.09558,1.280,0.296,-0.071,0.000,0.000,0.000,1.000
sw,58.09558,0.453,1.000,1.600,0.000,0.000,0.000,1.000
E,58.09558,3.234,1.505,0.061,0.182,-0.578,0.162,0.778
RC,58.09558,3.193,0.777,0.217,-0.024,-0.719,0.271,0.639
LF,58.09558,3.353,0.199,-0.122,-0.619,-0.743,0.206,0.152
RF,58.09558,3.409,0.189,0.108,0.050,0.023,-0.645,0.762
