Play Area: 2.1m x 3.4m, 1.904144
24 courses available, 1.910567
Tare feet, 5.025273
Loaded course_10_swing, 24.00294
Subject navigating course: False, 24.02566
Subject navigating course: True, 45.58668
Off course, 45.61384
Back on course, 45.66535
collide*(3.0118, 0.0488, 1.1187)*CollisionTracker_LF*(0.0042, -0.0362, 0.0721) *(0.1639, -0.5062, 0.9917)*(3.0877, 0.0135, 1.0376)*Foot*(2.9456, 0.0503, 1.1705), 48.00651
collide*(3.0535, 0.0182, 1.1243)*CollisionTracker_RF*(-3.2100, 0.0964, -0.5683) *(-64.9081, -5.3868, -16.4265)*(2.9441, 0.0489, 1.1700)*Foot*(3.0877, 0.0135, 1.0376), 48.01024
Off course, 48.42962
Back on course, 48.49509
pressed_ButtonBig(Clone), 50.38417
collide*(0.3665, 0.1211, 0.8591)*CollisionTracker_RF*(-0.2625, 0.1308, -1.4249) *(-5.4496, -6.8332, 14.4987)*(0.2867, 0.1371, 0.9433)*StepOverObstacle*(0.4000, 0.1300, 0.8000), 52.42747
collide*(0.3983, 0.0765, 1.0095)*CollisionTracker_LF*(-0.0519, -0.1002, 0.0112) *(9.4975, -0.8573, 12.6785)*(0.4601, 0.0867, 1.0933)*Foot*(0.3089, 0.0756, 1.0217), 53.28136
collide*(0.3713, 0.0587, 1.0304)*CollisionTracker_RF*(0.0117, 0.5845, 0.1110) *(11.6294, 8.9807, -3.8542)*(0.3102, 0.0742, 1.0205)*Foot*(0.4601, 0.0867, 1.0933), 53.28569
Off course, 54.62517
Back on course, 54.63789
Off course, 55.24769
Back on course, 55.26134
collide*(3.4751, 1.1670, 0.0990)*CollisionTracker_RH*(1.4241, 0.8295, -0.4919) *(5.5492, -5.5407, -4.1961)*(3.4352, 1.2414, 0.1492)*FlagZY*(3.6000, 1.3000, 0.0000), 59.32437
Finish Line Tagged, 59.32854
Subject navigating course: False, 59.33368
Loaded course_5_swing, 62.58534
Subject navigating course: False, 62.59801
Subject navigating course: True, 69.26591
collide*(3.3477, 0.1550, 0.7480)*CollisionTracker_RF*(0.3670, 0.7774, 2.2563) *(20.8016, -20.6909, 10.0811)*(3.3981, 0.2556, 0.7151)*StepOverObstacle*(3.2000, 0.0975, 0.8000), 72.41811
Off course, 73.19625
Back on course, 73.20773
Off course, 74.20858
Back on course, 74.21974
Off course, 74.24067
Back on course, 74.32946
collide*(2.0269, 0.0635, 1.3937)*CollisionTracker_LF*(-1.9024, -0.4007, -1.5119) *(6.4107, -1.8296, -9.7958)*(2.1089, 0.1252, 1.3790)*Foot*(2.0057, -0.0186, 1.4731), 74.4727
collide*(2.0181, 0.0587, 1.3983)*CollisionTracker_RF*(0.0636, -0.0528, -0.0071) *(-0.0422, -0.0940, 0.0248)*(2.0050, -0.0193, 1.4712)*Foot*(2.1089, 0.1252, 1.3790), 74.47704
Off course, 76.261
Back on course, 76.35052
pressed_ButtonBig(Clone), 77.0499
collide*(0.1953, 0.0920, 0.0146)*CollisionTracker_RF*(-2.7759, -0.0686, 0.8520) *(4.0811, -1.2397, 19.5001)*(0.2578, 0.1277, 0.0462)*Foot*(0.1425, 0.1074, -0.0422), 79.14801
collide*(0.1823, 0.1360, 0.0313)*CollisionTracker_LF*(0.0761, -0.0579, 0.0172) *(0.8818, -0.3546, 1.5449)*(0.1425, 0.1074, -0.0422)*Foot*(0.2592, 0.1293, 0.0456), 79.16118
collide*(0.0685, 0.0719, 0.6300)*CollisionTracker_LF*(0.6224, -0.5325, 2.8433) *(25.5021, 4.7301, -14.7420)*(-0.0306, 0.1326, 0.6234)*Foot*(0.1015, 0.0665, 0.5747), 79.90308
collide*(0.0644, 0.1009, 0.6121)*CollisionTracker_RF*(0.0960, -0.0049, -0.0120) *(-2.5280, -1.0346, -1.0618)*(0.1015, 0.0659, 0.5767)*Foot*(-0.0306, 0.1326, 0.6234), 79.90885
