bb,45.5945,1.664,0.296,1.676,0.000,0.000,0.000,1.000
sw,45.5945,3.353,1.000,1.600,0.000,0.000,0.000,1.000
E,45.5945,3.434,1.457,1.215,0.214,-0.691,0.221,0.654
RC,45.5945,3.339,0.736,1.420,0.147,-0.654,0.142,0.728
LF,45.5945,3.513,0.162,1.033,-0.682,-0.707,0.148,0.113
RF,45.5945,3.590,0.150,1.272,-0.018,0.118,-0.706,0.698
LC,45.5945,3.256,0.755,0.992,0.262,-0.664,0.138,0.687
bb,45.69707,1.664,0.296,1.676,0.000,0.000,0.000,1.000
sw,45.69707,3.411,1.000,1.600,0.000,0.000,0.000,1.000
E,45.69707,3.430,1.448,1.210,0.233,-0.694,0.244,0.636
RC,45.69707,3.237,0.816,1.422,0.026,-0.648,0.037,0.760
LF,45.69707,3.514,0.162,1.033,-0.688,-0.702,0.147,0.112
RF,45.69707,3.590,0.149,1.273,-0.014,0.118,-0.710,0.694
LC,45.69707,3.158,0.839,1.016,0.155,-0.663,0.041,0.732
bb,45.80811,1.664,0.296,1.676,0.000,0.000,0.000,1.000
sw,45.80811,3.474,1.000,1.600,0.000,0.000,0.000,1.000
E,45.80811,3.423,1.439,1.206,0.252,-0.696,0.261,0.620
RC,45.80811,3.172,0.885,1.414,-0.058,-0.649,-0.043,0.758
LF,45.80811,3.515,0.163,1.032,-0.693,-0.698,0.145,0.109
RF,45.80811,3.591,0.150,1.273,-0.010,0.117,-0.712,0.692
LC,45.80811,3.120,0.893,1.047,0.092,-0.639,-0.022,0.763
bb,45.91835,1.664,0.296,1.676,0.000,0.000,0.000,1.000
sw,45.91835,3.542,1.000,1.600,0.000,0.000,0.000,1.000
E,45.91835,3.415,1.434,1.202,0.259,-0.696,0.276,0.610
RC,45.91835,3.146,0.902,1.406,-0.070,-0.655,-0.061,0.750
LF,45.91835,3.515,0.163,1.032,-0.694,-0.698,0.142,0.108
RF,45.91835,3.591,0.148,1.275,-0.008,0.117,-0.712,0.693
LC,45.91835,3.122,0.887,1.040,0.092,-0.658,-0.014,0.747
bb,46.02956,1.664,0.296,1.676,0.000,0.000,0.000,1.000
sw,46.02956,3.611,1.000,1.600,0.000,0.000,0.000,1.000
E,46.02956,3.403,1.426,1.200,0.268,-0.693,0.292,0.602
RC,46.02956,3.151,0.881,1.401,-0.070,-0.660,-0.030,0.747
LF,46.02956,3.515,0.163,1.031,-0.693,-0.700,0.140,0.103
RF,46.02956,3.596,0.141,1.283,-0.006,0.116,-0.708,0.696
LC,46.02956,3.154,0.842,1.013,0.162,-0.674,-0.013,0.721
bb,46.12965,1.664,0.296,1.676,0.000,0.000,0.000,1.000
sw,46.12965,3.674,1.000,1.600,0.000,0.000,0.000,1.000
E,46.12965,3.395,1.411,1.201,0.300,-0.671,0.324,0.595
RC,46.12965,3.191,0.825,1.391,-0.057,-0.698,0.068,0.711
LF,46.12965,3.515,0.163,1.031,-0.690,-0.705,0.135,0.100
RF,46.12965,3.601,0.136,1.289,-0.010,0.118,-0.704,0.700
LC,46.12965,3.215,0.790,0.975,0.226,-0.701,0.024,0.677
bb,46.24076,1.664,0.296,1.676,0.000,0.000,0.000,1.000
sw,46.24076,3.741,1.000,1.600,0.000,0.000,0.000,1.000
E,46.24076,3.381,1.393,1.199,0.318,-0.654,0.359,0.586
RC,46.24076,3.284,0.744,1.382,0.023,-0.729,0.195,0.655
LF,46.24076,3.514,0.164,1.032,-0.683,-0.711,0.131,0.103
