bb,22.75141,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,22.75141,3.966,1.000,1.600,0.000,0.000,0.000,1.000
E,22.75141,3.208,1.449,-0.032,0.264,-0.656,0.298,0.641
RC,22.75141,3.157,0.794,0.157,0.089,-0.726,0.165,0.662
LF,22.75141,3.410,0.184,-0.122,-0.639,-0.765,0.083,0.002
RF,22.75141,3.394,0.183,0.057,0.101,-0.037,-0.660,0.744
LC,22.75141,3.130,0.848,-0.186,0.146,-0.661,-0.134,0.723
bb,22.85708,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,22.85708,3.988,1.000,1.600,0.000,0.000,0.000,1.000
E,22.85708,3.211,1.475,-0.031,0.213,-0.672,0.241,0.667
RC,22.85708,3.104,0.837,0.160,0.190,-0.697,0.003,0.692
LF,22.85708,3.410,0.183,-0.122,-0.642,-0.762,0.086,0.002
RF,22.85708,3.393,0.184,0.057,0.102,-0.037,-0.658,0.745
LC,22.85708,3.092,0.873,-0.176,0.140,-0.642,-0.229,0.719
bb,22.95747,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,22.95747,3.999,1.000,1.600,0.000,0.000,0.000,1.000
E,22.95747,3.216,1.496,-0.029,0.169,-0.682,0.190,0.686
RC,22.95747,3.077,0.849,0.146,0.142,-0.726,0.038,0.672
LF,22.95747,3.411,0.184,-0.122,-0.647,-0.757,0.089,0.001
RF,22.95747,3.393,0.183,0.057,0.104,-0.036,-0.658,0.745
LC,22.95747,3.080,0.868,-0.189,0.130,-0.667,-0.157,0.716
bb,23.05777,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,23.05777,3.999,1.000,1.600,0.000,0.000,0.000,1.000
E,23.05777,3.222,1.509,-0.026,0.145,-0.681,0.156,0.701
RC,23.05777,3.086,0.824,0.130,0.105,-0.760,0.144,0.625
LF,23.05777,3.411,0.184,-0.123,0.652,0.753,-0.090,0.003
RF,23.05777,3.393,0.183,0.057,0.107,-0.036,-0.658,0.745
LC,23.05777,3.105,0.831,-0.203,0.221,-0.640,-0.092,0.730
bb,23.16718,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,23.16718,3.988,1.000,1.600,0.000,0.000,0.000,1.000
E,23.16718,3.224,1.509,-0.020,0.148,-0.667,0.155,0.714
RC,23.16718,3.136,0.772,0.140,0.108,-0.744,0.267,0.603
LF,23.16718,3.411,0.184,-0.123,0.650,0.755,-0.086,0.004
RF,23.16718,3.392,0.184,0.057,0.110,-0.035,-0.655,0.746
LC,23.16718,3.168,0.789,-0.235,0.303,-0.627,-0.009,0.717
bb,23.26797,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,23.26797,3.968,1.000,1.600,0.000,0.000,0.000,1.000
E,23.26797,3.223,1.508,-0.012,0.161,-0.644,0.153,0.732
RC,23.26797,3.205,0.732,0.168,0.154,-0.693,0.365,0.602
LF,23.26797,3.410,0.185,-0.122,0.648,0.757,-0.083,0.003
RF,23.26797,3.391,0.185,0.057,0.110,-0.034,-0.653,0.749
LC,23.26797,3.240,0.760,-0.272,0.377,-0.635,0.073,0.670
bb,23.37914,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,23.37914,3.935,1.000,1.600,0.000,0.000,0.000,1.000
E,23.37914,3.225,1.502,0.008,0.196,-0.586,0.150,0.772
RC,23.37914,3.273,0.714,0.196,0.216,-0.645,0.407,0.609
LF,23.37914,3.410,0.185,-0.122,0.646,0.759,-0.082,0.003
RF,23.37914,3.391,0.185,0.057,0.110,-0.032,-0.656,0.746
LC,23.37914,3.321,0.740,-0.295,0.439,-0.619,0.156,0.632
bb,23.49003,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,23.49003,3.892,1.000,1.600,0.000,0.000,0.000,1.000
E,23.49003,3.238,1.481,0.040,0.274,-0.464,0.173,0.824
RC,23.49003,3.312,0.713,0.222,0.246,-0.574,0.411,0.664
LF,23.49003,3.410,0.185,-0.122,0.642,0.762,-0.081,0.002
RF,23.49003,3.392,0.186,0.057,0.104,-0.030,-0.662,0.742
LC,23.49003,3.376,0.727,-0.289,0.500,-0.532,0.224,0.646
bb,23.59026,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,23.59026,3.846,1.000,1.600,0.000,0.000,0.000,1.000
E,23.59026,3.252,1.462,0.067,0.332,-0.367,0.193,0.847
RC,23.59026,3.330,0.715,0.235,0.263,-0.511,0.375,0.727
LF,23.59026,3.409,0.185,-0.121,-0.634,-0.769,0.080,0.000
RF,23.59026,3.392,0.186,0.057,0.094,-0.031,-0.659,0.745
LC,23.59026,3.361,0.733,-0.270,0.508,-0.463,0.230,0.689
bb,23.70226,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,23.70226,3.787,1.000,1.600,0.000,0.000,0.000,1.000
E,23.70226,3.263,1.444,0.088,0.383,-0.312,0.207,0.845
RC,23.70226,3.348,0.715,0.236,0.275,-0.460,0.331,0.777
LF,23.70226,3.408,0.184,-0.122,-0.629,-0.773,0.082,0.002
RF,23.70226,3.392,0.186,0.056,0.080,-0.027,-0.652,0.753
LC,23.70226,3.292,0.740,-0.240,0.484,-0.415,0.157,0.755
bb,23.81285,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,23.81285,3.723,1.000,1.600,0.000,0.000,0.000,1.000
E,23.81285,3.268,1.430,0.100,0.414,-0.300,0.197,0.836
RC,23.81285,3.367,0.708,0.223,0.305,-0.441,0.315,0.783
LF,23.81285,3.409,0.183,-0.122,-0.629,-0.772,0.088,0.007
RF,23.81285,3.392,0.187,0.055,0.043,0.013,-0.634,0.772
LC,23.81285,3.195,0.756,-0.205,0.443,-0.401,0.057,0.799
bb,23.92325,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,23.92325,3.656,1.000,1.600,0.000,0.000,0.000,1.000
E,23.92325,3.268,1.421,0.105,0.428,-0.320,0.198,0.822
RC,23.92325,3.383,0.701,0.213,0.319,-0.439,0.313,0.779
LF,23.92325,3.407,0.184,-0.122,-0.624,-0.777,0.088,0.011
RF,23.92325,3.386,0.189,0.039,-0.016,0.099,-0.624,0.775
LC,23.92325,3.106,0.783,-0.163,0.392,-0.416,-0.013,0.821
bb,24.03414,1.139,0.296,1.523,0.000,0.000,0.000,1.000
sw,24.03414,3.585,1.000,1.600,0.000,0.000,0.000,1.000
E,24.03414,3.266,1.417,0.111,0.433,-0.336,0.200,0.812
RC,24.03414,3.394,0.694,0.212,0.334,-0.437,0.325,0.770
LF,24.03414,3.404,0.186,-0.121,-0.606,-0.792,0.071,0.015
RF,24.03414,3.391,0.185,0.040,0.007,0.082,-0.646,0.759
LC,24.03414,3.054,0.817,-0.119,0.327,-0.445,-0.058,0.831
bb,24.14533,1.139,0.296,1.523,0.000,0.000,0.000,1.000
