bb,18.17662,1.161,0.296,1.626,0.000,0.000,0.000,1.000
sw,18.17662,3.699,1.000,1.600,0.000,0.000,0.000,1.000
E,18.17662,3.290,1.380,0.133,0.483,-0.460,0.323,0.672
RC,18.17662,3.429,0.709,0.231,0.140,-0.660,0.420,0.607
LF,18.17662,3.439,0.189,-0.072,-0.635,-0.734,0.192,0.143
RF,18.17662,3.529,0.198,0.053,-0.123,0.259,-0.640,0.713
LC,18.17662,3.270,0.756,-0.069,0.405,-0.323,-0.123,0.846
bb,18.28263,1.161,0.296,1.626,0.000,0.000,0.000,1.000
sw,18.28263,3.765,1.000,1.600,0.000,0.000,0.000,1.000
E,18.28263,3.292,1.383,0.123,0.482,-0.453,0.320,0.678
RC,18.28263,3.439,0.710,0.225,0.147,-0.647,0.426,0.615
LF,18.28263,3.438,0.186,-0.071,-0.625,-0.741,0.195,0.152
RF,18.28263,3.542,0.194,0.055,-0.119,0.262,-0.670,0.685
LC,18.28263,3.270,0.754,-0.086,0.424,-0.308,-0.137,0.841
bb,18.38279,1.161,0.296,1.626,0.000,0.000,0.000,1.000
sw,18.38279,3.820,1.000,1.600,0.000,0.000,0.000,1.000
E,18.38279,3.297,1.386,0.114,0.470,-0.457,0.317,0.685
RC,18.38279,3.443,0.709,0.220,0.147,-0.640,0.428,0.621
LF,18.38279,3.438,0.185,-0.071,-0.621,-0.740,0.200,0.165
RF,18.38279,3.550,0.188,0.055,-0.122,0.255,-0.673,0.683
LC,18.38279,3.266,0.750,-0.102,0.434,-0.316,-0.129,0.834
bb,18.49312,1.161,0.296,1.626,0.000,0.000,0.000,1.000
sw,18.49312,3.875,1.000,1.600,0.000,0.000,0.000,1.000
E,18.49312,3.307,1.394,0.106,0.456,-0.460,0.308,0.697
RC,18.49312,3.444,0.713,0.214,0.135,-0.640,0.423,0.627
LF,18.49312,3.439,0.185,-0.071,-0.629,-0.735,0.193,0.162
RF,18.49312,3.550,0.182,0.059,-0.118,0.245,-0.660,0.700
LC,18.49312,3.264,0.750,-0.108,0.436,-0.325,-0.128,0.829
bb,18.60337,1.161,0.296,1.626,0.000,0.000,0.000,1.000
sw,18.60337,3.921,1.000,1.600,0.000,0.000,0.000,1.000
E,18.60337,3.312,1.403,0.102,0.436,-0.470,0.300,0.706
RC,18.60337,3.447,0.714,0.213,0.132,-0.650,0.422,0.618
LF,18.60337,3.439,0.186,-0.071,-0.629,-0.738,0.188,0.157
RF,18.60337,3.555,0.178,0.062,-0.118,0.247,-0.662,0.697
LC,18.60337,3.271,0.753,-0.102,0.422,-0.321,-0.133,0.837
bb,18.70397,1.161,0.296,1.626,0.000,0.000,0.000,1.000
sw,18.70397,3.954,1.000,1.600,0.000,0.000,0.000,1.000
E,18.70397,3.315,1.405,0.104,0.433,-0.471,0.291,0.712
RC,18.70397,3.448,0.718,0.225,0.130,-0.638,0.417,0.634
LF,18.70397,3.440,0.185,-0.071,-0.628,-0.740,0.184,0.155
RF,18.70397,3.557,0.173,0.065,-0.116,0.247,-0.659,0.701
LC,18.70397,3.280,0.751,-0.096,0.417,-0.326,-0.116,0.841
