bb,101.8479,1.573,0.296,-0.095,0.000,0.000,0.000,1.000
E,101.8479,4.064,1.421,0.498,-0.038,0.762,0.039,0.645
RC,101.8479,4.119,0.928,0.585,0.072,0.876,0.051,0.475
LF,101.8479,3.731,0.143,0.908,0.008,-0.014,0.607,0.795
RF,101.8479,3.737,0.107,0.610,0.720,0.619,0.151,0.276
LC,101.8479,4.090,0.971,0.667,0.078,0.731,0.206,0.645
bb,101.9532,1.573,0.296,-0.095,0.000,0.000,0.000,1.000
E,101.9532,4.064,1.420,0.507,-0.028,0.765,0.034,0.642
RC,101.9532,4.115,0.925,0.591,0.068,0.879,0.044,0.469
LF,101.9532,3.717,0.145,0.910,0.026,0.000,0.580,0.814
RF,101.9532,3.735,0.108,0.609,0.717,0.621,0.159,0.274
LC,101.9532,4.087,0.967,0.671,0.077,0.737,0.201,0.641
bb,102.0699,1.573,0.296,-0.095,0.000,0.000,0.000,1.000
E,102.0699,4.056,1.423,0.522,-0.018,0.771,0.036,0.635
RC,102.0699,4.113,0.927,0.596,0.074,0.886,0.047,0.456
LF,102.0699,3.702,0.145,0.914,0.064,0.035,0.543,0.837
RF,102.0699,3.733,0.109,0.610,0.710,0.631,0.164,0.265
LC,102.0699,4.087,0.968,0.676,0.085,0.745,0.202,0.630
bb,102.1744,1.573,0.296,-0.095,0.000,0.000,0.000,1.000
E,102.1744,4.039,1.420,0.538,-0.006,0.782,0.006,0.623
RC,102.1744,4.103,0.930,0.598,0.065,0.908,0.042,0.413
LF,102.1744,3.685,0.148,0.925,0.133,0.106,0.480,0.861
RF,102.1744,3.732,0.109,0.614,0.705,0.642,0.169,0.249
LC,102.1744,4.085,0.971,0.678,0.083,0.777,0.198,0.592
bb,102.275,1.573,0.296,-0.095,0.000,0.000,0.000,1.000
E,102.275,4.009,1.409,0.554,0.007,0.808,-0.064,0.585
RC,102.275,4.090,0.935,0.599,0.066,0.927,0.047,0.367
LF,102.275,3.672,0.145,0.950,0.199,0.190,0.430,0.860
RF,102.275,3.727,0.112,0.616,0.700,0.654,0.173,0.228
LC,102.275,4.080,0.979,0.688,0.093,0.805,0.201,0.551
bb,102.3815,1.573,0.296,-0.095,0.000,0.000,0.000,1.000
E,102.3815,3.967,1.397,0.571,0.005,0.858,-0.117,0.500
RC,102.3815,4.071,0.946,0.603,0.075,0.944,0.068,0.313
LF,102.3815,3.664,0.129,0.952,0.225,0.187,0.446,0.846
RF,102.3815,3.727,0.111,0.621,0.699,0.662,0.178,0.205
LC,102.3815,4.070,0.979,0.684,0.114,0.828,0.218,0.503
bb,102.4873,1.573,0.296,-0.095,0.000,0.000,0.000,1.000
E,102.4873,3.919,1.397,0.597,0.012,0.913,-0.099,0.396
RC,102.4873,4.039,0.957,0.608,0.076,0.963,0.092,0.240
LF,102.4873,3.661,0.123,0.956,0.235,0.174,0.459,0.839
RF,102.4873,3.727,0.115,0.626,0.703,0.668,0.170,0.175
LC,102.4873,4.049,0.987,0.691,0.131,0.858,0.237,0.436
bb,102.5989,1.573,0.296,-0.095,0.000,0.000,0.000,1.000
E,102.5989,3.870,1.390,0.625,0.011,0.933,-0.183,0.308
RC,102.5989,3.998,0.952,0.618,0.078,0.980,0.086,0.162
LF,102.5989,3.660,0.119,0.959,0.254,0.176,0.465,0.830
RF,102.5989,3.713,0.129,0.632,0.714,0.663,0.163,0.157
LC,102.5989,4.023,0.982,0.697,0.140,0.891,0.225,0.369
bb,102.7016,1.573,0.296,-0.095,0.000,0.000,0.000,1.000
E,102.7016,3.818,1.384,0.644,0.073,0.914,-0.319,0.240
RC,102.7016,3.965,0.939,0.622,0.068,0.989,0.036,0.124
LF,102.7016,3.657,0.118,0.962,0.267,0.179,0.486,0.813
RF,102.7016,3.625,0.146,0.683,0.778,0.615,0.032,0.123
LC,102.7016,3.998,0.977,0.697,0.143,0.913,0.178,0.338
