bb,207.2813,0.291,0.296,1.025,0.000,0.000,0.000,1.000
sw,207.2813,0.311,1.000,0.680,0.000,0.000,0.000,1.000
E,207.2813,2.748,1.468,1.199,0.013,0.921,-0.386,-0.041
RC,207.2813,2.567,0.695,1.261,0.294,0.845,-0.336,0.295
LF,207.2813,2.847,0.130,1.430,0.637,0.303,0.553,0.444
RF,207.2813,2.668,0.132,1.430,0.722,-0.113,-0.634,0.252
LC,207.2813,2.911,0.692,1.247,0.391,-0.731,0.358,0.430
bb,207.3868,0.291,0.296,1.025,0.000,0.000,0.000,1.000
sw,207.3868,0.283,1.000,0.680,0.000,0.000,0.000,1.000
E,207.3868,2.748,1.468,1.202,0.014,0.921,-0.387,-0.040
RC,207.3868,2.566,0.695,1.264,0.295,0.843,-0.337,0.297
LF,207.3868,2.847,0.130,1.430,0.637,0.301,0.555,0.442
RF,207.3868,2.667,0.132,1.430,0.724,-0.111,-0.633,0.251
LC,207.3868,2.911,0.692,1.250,0.390,-0.733,0.359,0.427
bb,207.4979,0.291,0.296,1.025,0.000,0.000,0.000,1.000
sw,207.4979,0.246,1.000,0.680,0.000,0.000,0.000,1.000
E,207.4979,2.748,1.469,1.205,0.015,0.921,-0.387,-0.039
RC,207.4979,2.567,0.695,1.264,0.295,0.844,-0.334,0.298
LF,207.4979,2.847,0.130,1.431,0.637,0.301,0.555,0.441
RF,207.4979,2.667,0.132,1.430,0.724,-0.110,-0.633,0.251
LC,207.4979,2.911,0.692,1.252,0.389,-0.734,0.359,0.425
bb,207.6083,0.291,0.296,1.025,0.000,0.000,0.000,1.000
sw,207.6083,0.201,1.000,0.680,0.000,0.000,0.000,1.000
E,207.6083,2.746,1.469,1.207,0.015,0.921,-0.387,-0.038
RC,207.6083,2.567,0.697,1.263,0.296,0.845,-0.331,0.299
LF,207.6083,2.847,0.131,1.431,0.638,0.301,0.556,0.440
RF,207.6083,2.667,0.132,1.430,0.725,-0.109,-0.632,0.251
LC,207.6083,2.910,0.692,1.254,0.390,-0.734,0.359,0.424
bb,207.721,0.291,0.296,1.025,0.000,0.000,0.000,1.000
sw,207.721,0.151,1.000,0.680,0.000,0.000,0.000,1.000
E,207.721,2.743,1.469,1.210,0.015,0.921,-0.387,-0.038
RC,207.721,2.565,0.698,1.264,0.296,0.845,-0.330,0.299
LF,207.721,2.847,0.130,1.431,0.638,0.302,0.557,0.439
RF,207.721,2.667,0.132,1.430,0.726,-0.108,-0.631,0.251
LC,207.721,2.908,0.692,1.256,0.392,-0.733,0.359,0.424
bb,207.8306,0.291,0.296,1.025,0.000,0.000,0.000,1.000
sw,207.8306,0.095,1.000,0.680,0.000,0.000,0.000,1.000
E,207.8306,2.738,1.468,1.211,0.014,0.921,-0.388,-0.037
RC,207.8306,2.561,0.697,1.266,0.294,0.845,-0.331,0.298
LF,207.8306,2.846,0.130,1.431,0.637,0.302,0.558,0.437
RF,207.8306,2.666,0.131,1.431,0.727,-0.105,-0.630,0.251
LC,207.8306,2.905,0.693,1.257,0.393,-0.733,0.360,0.423
bb,207.9416,0.291,0.296,1.025,0.000,0.000,0.000,1.000
sw,207.9416,0.037,1.000,0.680,0.000,0.000,0.000,1.000
E,207.9416,2.732,1.468,1.214,0.012,0.921,-0.389,-0.036
RC,207.9416,2.557,0.696,1.269,0.292,0.845,-0.331,0.301
LF,207.9416,2.846,0.131,1.431,0.636,0.304,0.560,0.435
RF,207.9416,2.666,0.131,1.431,0.728,-0.102,-0.629,0.252
LC,207.9416,2.903,0.694,1.259,0.395,-0.733,0.360,0.421
bb,208.0522,0.291,0.296,1.025,0.000,0.000,0.000,1.000
sw,208.0522,-0.022,1.000,0.680,0.000,0.000,0.000,1.000
E,208.0522,2.722,1.468,1.216,0.008,0.921,-0.389,-0.034
RC,208.0522,2.553,0.695,1.269,0.291,0.845,-0.330,0.304
LF,208.0522,2.845,0.131,1.431,0.635,0.305,0.562,0.434
